Name,Rating,Review Count,Price
"Amazon eero 6+ mesh Wi-Fi system | Fast and reliable gigabit speeds | connect 75+ devices | Coverage up to 4,500 sq. ft. | 3-pack, 2022 release",4.4 out of 5 stars,"5,451",$194.99
"Blink Mini Pan-Tilt Camera | Rotating indoor plug-in smart security camera, two-way audio, HD video, motion detection, Works with Alexa (White)",4.6 out of 5 stars,"8,603",$59.99
"INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24, 2023 Model)",4.5 out of 5 stars,"11,843",$199.99
"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White (2021 release)",4.7 out of 5 stars,"31,476",$127.83
Amazon Ethernet Adapter for Amazon Fire TV Devices,4.5 out of 5 stars,"71,910",$14.99
"Amazon Fire TV 32"" 2-Series HD smart TV (latest model, 2023) with Fire TV Alexa Voice Remote, stream live TV without cable",4.5 out of 5 stars,"3,086",$107.99
2-Year Accident Protection Plan for Fire TV Stick (3rd Gen) and Fire TV Stick Lite,4.6 out of 5 stars,"13,087",No price
"Certified Refurbished Kindle (2022 release) - Kindle Paperwhite (16 GB) – Now with a 6.8"" display and adjustable warm light – Black",4.8 out of 5 stars,245,$84.99
"Amazon Fire HD 8 Kids tablet, ages 3-7. Top-selling 8"" kids tablet on Amazon - 2022 | ad-free content with parental controls included, 13-hr battery, 32 GB, Blue",4.6 out of 5 stars,"4,784",$149.99
"Echo Glow - Multicolor smart lamp, a Certified for Humans Device – Requires compatible Alexa device",4.6 out of 5 stars,"46,239",$29.99
"Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Black",4.5 out of 5 stars,"10,535",No price
"Amazon Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",4.7 out of 5 stars,"163,255",$54.99
Ring Charging Station with 2-pack Quick Release Battery Packs,4.7 out of 5 stars,"117,937",No price
"Kindle Paperwhite (16 GB) – Now with a 6.8"" display and adjustable warm light – Black",4.7 out of 5 stars,"44,625",$111.07
"All-new Echo Buds (2023 Release) | Semi-in-ear, True Wireless Bluetooth 5.2 Earbuds with Alexa, multipoint, 20H battery with charging case, fast charging, sweat resistant | Black",4.0 out of 5 stars,"5,091",$34.99
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",4.7 out of 5 stars,"21,536",$144.87
"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - White",4.7 out of 5 stars,"61,117",$99.99
"Amazon eero Pro 6E mesh Wi-Fi System | Fast and reliable gigabit + speeds | supports blazing fast gaming | Coverage up to 6,000 sq. ft. | 3-pack, 2022 release",4.3 out of 5 stars,"3,609",$399.99
"Certified Refurbished Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",3.7 out of 5 stars,37,$19.99
"Amazon Fire HD 8 Kids Pro tablet- 2022, ages 6-12 | 8"" HD screen, slim case for older kids, ad-free content, parental controls, 13-hr battery, 32 GB, Rainbow Universe",4.6 out of 5 stars,"4,718",$149.99
"Amazon Alexa Voice Remote (3rd Gen) with TV controls, Requires compatible Fire TV device, 2021 release",4.5 out of 5 stars,"17,245",$29.99
"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",4.7 out of 5 stars,"141,855",$63.92
"Blink Outdoor 4 (4th Gen) cameras + Wired Floodlight Camera + Mini Pan-Tilt Camera – HD live view, motion detection, two-way talk, set up in minutes, Works with Alexa",4.5 out of 5 stars,2,No price
"Amazon Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",4.5 out of 5 stars,"7,337",$106.24
Amazon eero 6 dual-band mesh Wi-Fi 6 extender - expands existing eero network,4.6 out of 5 stars,"4,931",$64.99
"Amazon Fire Max 11 tablet, our most powerful tablet yet, vivid 11"" display, octa-core processor, 4 GB RAM, 14-hour battery life, 64 GB, Gray",4.4 out of 5 stars,"3,265",$229.99
"INSIGNIA 42-inch Class F20 Series Smart Full HD 1080p Fire TV with Alexa Voice Remote (NS-42F201NA23, 2022 Model)",4.5 out of 5 stars,"4,208",$159.99
Echo Show 10 (3rd Gen) | HD smart display with motion and Alexa | Charcoal,4.5 out of 5 stars,"45,265",$129.99
"All New, Anti-Glare Screen Protector (2 Pack), for Amazon Fire HD 10, (13th Gen, 2023 release)",4.0 out of 5 stars,23,$17.99
"Toshiba 75-inch Class C350 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (75C350KU, 2021 Model)",4.4 out of 5 stars,"6,715",$499.99
"Certified Refurbished Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Ad-Supported",4.7 out of 5 stars,901,$79.99
"Blink Wired Floodlight Camera – Smart security camera, 2600 lumens, HD live view, enhanced motion detection, built-in siren, Works with Alexa – 1 camera (White)",4.2 out of 5 stars,"3,958",$68.18
"Introducing Amazon Fire TV Soundbar, compact 2.0 speaker with DTS Virtual:X and Dolby Audio, easy setup",3.9 out of 5 stars,298,$99.99
"Certified Refurbished Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",4.6 out of 5 stars,"2,884",No price
"Ring Spotlight Cam Plus, Solar | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - White",4.8 out of 5 stars,"2,013",No price
"Amazon 9W Official OEM USB Charger and Power Adapter for Fire Tablets, Kindle eReaders, and Echo Dot",4.7 out of 5 stars,"11,222",$19.99
"Certified Refurbished Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - White",4.6 out of 5 stars,"7,017",$89.99
Echo Dot (5th Gen) | Charcoal with Free Sengled Smart Color Bulb,4.7 out of 5 stars,"68,345",No price
"All-new Echo Show 8 (3rd Gen, 2023 release) | With Spatial Audio, Smart Home Hub, and Alexa | Charcoal",4.0 out of 5 stars,41,$149.99
"All-new Amazon Fire HD 10 Kids Pro tablet- 2023, ages 6-12 | Bright 10.1"" HD screen | Slim case for older kids, ad-free content, parental controls, 13-hr battery, 32 GB, Nebula",4.4 out of 5 stars,12,$189.99
Spare Parts for Ring Video Doorbell,4.7 out of 5 stars,"23,971",$4.99
"Ring No-Drill Mount for Ring Video Doorbell 3, Video Doorbell 3 Plus, Video Doorbell 4, Battery Doorbell Plus",4.4 out of 5 stars,"7,982",$19.99
"Toshiba 43-inch Class C350 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (43C350LU, 2023 Model)",4.3 out of 5 stars,952,$189.99
Amazon Smart Thermostat – Save money and energy - Works with Alexa and Ring - C-wire required,4.2 out of 5 stars,"20,905",$79.99
"INSIGNIA 43-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-43F301NA22, 2021 Model)",4.5 out of 5 stars,"11,843",$189.99
2-Year Extended Warranty Plan for Amazon Fire TV Stick 4K,3.5 out of 5 stars,4,No price
Blink Video Doorbell Corner Mount – Black,4.3 out of 5 stars,"15,032",$7.99
"All-New, NuPro Anti-Glare Screen Protector (2 Pack), for Fire HD 8 tablet & Fire HD 8 Plus tablet (2022 Release)",4.4 out of 5 stars,"3,591",$12.99
Ring Solar Charger for Video Doorbell (2nd Generation - 2020 Release),4.1 out of 5 stars,"4,442",$44.99
"All-New Blink Outdoor 4 Floodlight Mount – Wire-free, 700 lumens, two-year battery life, set up in minutes",4.2 out of 5 stars,50,$39.99
"All-new Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Black",4.4 out of 5 stars,66,$139.99
"Ring Solar Panel (2nd Generation), 4W for Stick Up Cam, Stick Up Cam Pro, Spotlight Cam Plus, Spotlight Cam Pro - White",4.7 out of 5 stars,"4,695",$59.99
"Ring Floodlight Cam Wired Pro with Bird’s Eye View and 3D Motion Detection, White",4.7 out of 5 stars,"7,905",$153.40
Kindle Paperwhite Fabric Cover (11th Generation-2021),4.7 out of 5 stars,"14,664",$14.29
"Amazon Fire TV 40"" 2-Series HD smart TV (latest model, 2023) with Fire TV Alexa Voice Remote, stream live TV without cable",4.5 out of 5 stars,"3,086",$167.19
"Kindle Paperwhite (16 GB) – Now with a 6.8"" display and adjustable warm light – Agave Green",4.7 out of 5 stars,"44,625",$149.99
Echo Show 8 (2nd Gen) | Charcoal with Free Sengled Smart Color Bulb,4.7 out of 5 stars,"79,863",No price
"NuPro Clear Screen Protector for Amazon Fire 7 Tablet (12th generation, 2022 release), 2-pack",4.5 out of 5 stars,"3,033",$12.99
"Amazon Fire HD 10 Plus tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Slate",4.6 out of 5 stars,"27,192",$114.99
Ring Charging Station for Quick Release Battery Packs,4.7 out of 5 stars,"117,937",$29.99
"Made for Amazon, Wireless Charging Dock for Kindle Paperwhite Signature Edition. Only compatible with Kindle Paperwhite Signature Edition.",4.7 out of 5 stars,"11,112",$18.77
"Certified Refurbished Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",4.5 out of 5 stars,"3,000",$39.99
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.7 out of 5 stars,"981,372",No price
"Ring Video Doorbell Pro – Upgraded, with added security features and a sleek design (existing doorbell wiring required)",4.5 out of 5 stars,"46,441",$169.99
"Ring Floodlight Cam Wired Plus, White with Ring Video Doorbell, Satin Nickel",No rating,No count,No price
